"","X","User_id","Gender","Text","Label"
"1",1,815719226,"male","Robbie E Responds To Critics After Win Against Eddie Edwards In The  WorldTitleSeries https t coNSybBmVjKZ",3
"2",2,815719227,"male","It felt like they were my friends and I was living the story with them   https t coarngE0YHNO  retired  IAN1 https t coCIzCANPQFz",3
"3",3,815719228,"male","i absolutely adore when louis starts the songs it hits me hard but it feels good",3
"4",4,815719229,"male","Hi    Looking at the url   do you use     Don t typically see an advanced user on the   https t coH68ou5PE9L",3
"5",5,815719230,"female","Watching Neighbours on Sky  catching up with the Neighbs   Xxx                           Xxx",2
"6",6,815719231,"female","Ive seen people on the train with lamps  chairs  tvs etc  https t cow6zf4pVM4I",2
"7",7,815719232,"brand","Thank you for your patience while we take care of the issue",1
"8",8,815719233,"male","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coHzeeykJUd3",3
"9",9,815719234,"female","the pic defines all mcd fangirlsfanboys and mcd shippers xD",2
"10",10,815719235,"female","just how lovely is the tree this year  Never seen it as gorgeous as this  Autumn  colour",2
"11",11,815719236,"brand","how are you taking care of yourself  https t coOrL9u1P8YI  fitfluential",1
"12",12,815719237,"brand","MTG Deals 1x Rank Up Magic   The Seventh One   PRIO EN058   Secret Rare   Unlimi https t coY22wyLpgnN https t coVwagxMNohB",1
"13",13,815719238,"female","Just put my ass on the line for you and this is how you repay me",2
"14",14,815719239,"brand","https t coz4sbWUugd8 What the Nation Will Be Talking About After Wednesday s GOP Debates https t cogIHIVyHF7G  business  now",1
"15",15,815719240,"female","will i even need sound effects for the diviners tonight",2
"16",16,815719241,"female","https t coEROGWTFTYo It s a glow of satisfaction re The Glow https t co7RdyMCVPKx",2
"17",17,815719242,"female","lmao          dude I m hella scared for next episode bc the ending to yesterday s",2
"18",18,815719243,"male","Ditto   I m still learning the favourites and retweet stuff   least it sucks less than Facebook haha  P",3
"19",19,815719244,"male","I do but I don t understand how to get to the server to get it",3
"21",21,815719246,"female","thank you for the retweets",2
"22",22,815719247,"female","All the girls went to sleep and the guys just sat in the floor and watched us",2
"23",23,815719248,"female","I m on the right side             xxx",2
"24",24,815719249,"male","YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON  A TEAR ROLLED DOWN HIS FACE https t coaYuQDPtvsE",3
"25",25,815719250,"male","James Bond premier night at the  in Oxted with   Let s hope it lives up to expectation   SPECTRE",3
"26",26,815719251,"female","except once the Hallmark movies start I won t get anything done",2
"27",27,815719252,"brand","How beautiful is the religion which teaches you to love for others what you love for yourself    Islam  Muslim  muslims",1
"28",28,815719253,"brand","Fuck you   NASA is awesome  https t cowIUkltDTyO",1
"29",29,815719254,"female","You leave the group chat for more than 2 mins and you miss made shit",2
"30",30,815719255,"male","As opposed to Pump where it s like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE",3
"31",31,815719256,"brand","Reality Series    Monica the Medium   Gets Season 2 on ABC Family https t coQ62PP17sJe https t coGOHuoOHQky",1
"32",32,815719257,"male","All the  magic in Hath No FURY is based on REAL  Magick  https t cojwpsVhAU1E",3
"33",33,815719258,"female","Me the week of Brandon s birthday  there s no such thing as a birthday week u weirdo Me November 1st  it s my birthday month  bow down to me",2
"34",34,815719259,"male","And got more yards AND points than the Jets gave up all season  https t cogdfkaOxcDD",3
"35",35,815719260,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is    https t coeXhmGLr869 https t co6xjB8Kxjis",1
"36",36,815719261,"male","Did Alot Up In The Past Ion Wont Back",3
"37",37,815719262,"brand","Here s how  s Julia will combat the stigma associated with  autism  https t coIdkJYk84Mk  ece",1
"38",38,815719263,"female","This boy was on the El wit his 3 daughters and they all was under 5",2
"39",39,815719264,"brand","The trick is making sure you keep your lungs inflated for cushioning",1
"40",40,815719265,"male","I mean it s not like Mainstream new media is supposed to feed you the fact nowadays",3
"41",41,815719266,"brand","The Flash  New Look at Danielle Panabaker as Killer Frost     https t coB1Icufq59H https t coM5ju9fXQv4  HotNews  geekinitiative",1
"42",42,815719267,"male","How many followers do you get everyday  I got 1 in the last day  Growing daily with https t coJzckR3ub8H",3
"43",43,815719268,"brand","dog walkers needed  from the South Loop to Edgewater  Midday 11am 3pm   Chicago  jobs https t coz9HesUigwz",1
"44",44,815719269,"male","Artist of the Year  AMAs  HO FAME",3
"45",45,815719270,"male","mheshimiwa travellers along that stretch of the road  lubao  r hurting and nobody seems to be raising this issue",3
"46",46,815719271,"male","Greenville Thursday  Yall holla you need anything  Know I m the plug",3
"47",47,815719272,"female","I went to the wrong Nandos but I found you eventually  10chilliesequalsfreenandos",2
"48",48,815719273,"male","Cardiff or drew with the over 1 5 match goals sounds good to me",3
"49",49,815719274,"female","Those who break the rules are scum  but those who abandon their friends are worse than scum",2
"50",50,815719275,"brand","Apple  The Great iPhone Unit Debate https t coYOruxSrKCE",1
"51",51,815719276,"male","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coXprInke1m2",3
"52",52,815719277,"female","VIDEO  James Bond Spectre world premiere  After months of build up Spectre  the latest    https t couV38Wlg5bE  UK",2
"53",53,815719278,"brand","EDM  Amazon celebrates new vinyl store in unveiling the   13 Day Vinyl    https t cof1gN9iKlDA  Dance  News  Rave https t co4pUUtAejU0",1
"54",54,815719279,"male","Best thing about having an audition on the west side is being able to eat lunch at Komodo",3
"55",55,815719280,"male","Discipline is the bridge between goals and accomplishment    Jim Rohn",3
